t_source.id,t_source.f_class,t_source.f_methodname,t_source.f_extlabel,t_source.f_engagement,t_source.f_app,t_source.is_active,t_source.created_on,t_source.created_by,t_source.modified_on,t_source.modified_by
1,android.accounts.AccountManager,android.accounts.Account[] getAccounts(),GET_ACCOUNTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
2,android.accounts.AccountManager,android.accounts.Account[] getAccountsByType(java.lang.String type),GET_ACCOUNTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
3,android.accounts.AccountManager,"android.accounts.AccountManagerFuture<android.accounts.Account[]> getAccountsByTypeAndFeatures(java.lang.String type, java.lang.String[] features, android.accounts.AccountManagerCallback<android.accounts.Account[]> callback, android.os.Handler handler)",GET_ACCOUNTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
4,android.accounts.AccountManager,"android.accounts.AccountManagerFuture<android.os.Bundle> getAuthTokenByFeatures(java.lang.String accountType, java.lang.String authTokenType, java.lang.String[] features, android.app.Activity activity, android.os.Bundle addAccountOptions, android.os.Bundle getAuthTokenOptions, android.accounts.AccountManagerCallback<android.os.Bundle> callback, android.os.Handler handler)",GET_ACCOUNTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
5,android.accounts.AccountManager,"android.accounts.AccountManagerFuture<java.lang.Boolean> hasFeatures(android.accounts.Account account, java.lang.String[] features, android.accounts.AccountManagerCallback<java.lang.Boolean> callback, android.os.Handler handler)",GET_ACCOUNTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
6,android.accounts.AccountManager,"void addOnAccountsUpdatedListener(android.accounts.OnAccountsUpdateListener listener, android.os.Handler handler, boolean updateImmediately)",GET_ACCOUNTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
7,android.app.ActivityManager,"java.util.List<android.app.ActivityManager.RecentTaskInfo> getRecentTasks(int maxNum, int flags)",GET_TASKS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
8,android.app.ActivityManager,java.util.List<android.app.ActivityManager.RunningTaskInfo> getRunningTasks(int maxNum),GET_TASKS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
9,android.content.ContentResolver,"android.database.Cursor query(android.net.Uri uri, java.lang.String[] projection, java.lang.String selection, java.lang.String[] selectionArgs, java.lang.String sortOrder)",READ_CONTACTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
10,android.content.ContentResolver,"android.os.ParcelFileDescriptor openFileDescriptor(android.net.Uri uri, java.lang.String mode)",READ_CONTACTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
11,android.content.ContentResolver,java.io.InputStream openInputStream(android.net.Uri uri),READ_CONTACTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
12,android.content.ContentResolver,java.io.OutputStream openOutputStream(android.net.Uri uri),READ_CONTACTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
13,android.content.ContentResolver,"java.io.OutputStream openOutputStream(android.net.Uri uri, java.lang.String mode)",READ_CONTACTS,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
14,android.content.Intent,android.os.Bundle getExtras(),INTENT,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
15,android.hardware.Camera,android.hardware.Camera open(),CAMERA,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
16,android.hardware.Camera,android.hardware.Camera open(int cameraId),CAMERA,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
17,android.hardware.SensorEventListener,"void onAccuracyChanged(android.hardware.Sensor sensor, int accuracy)",,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
18,android.hardware.SensorEventListener,void onSensorChanged(android.hardware.SensorEvent event),,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
19,android.hardware.SensorListener Deprecated,"void onAccuracyChanged(int sensor, int accuracy)",,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
20,android.hardware.SensorListener Deprecated,"void onSensorChanged(int sensor, float[] values)",,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
21,android.location.Location,double android.location.Location.getLatitude(),GEOLOCATION,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
22,android.location.Location,double android.location.Location.getLongitude(),GEOLOCATION,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
23,android.location.LocationListener,void android.location.LocationListener.onLocationChanged(android.location.Location x),GEOLOCATION,<NULL>,<NULL>,True,2013-01-16 22:39:46,<NULL>,2013-01-16 22:39:46,<NULL>
